Text	Target_Label	llm_labels
If he wants a place, he must jostle for it.	1	0.0
Boring. Bored. Waiting for david. I know he's gonna kill.	0	0.0
Haha 6pm lo	0	0.0
"I told her last week that I was ready for her to get home so she could ""wear"" her cat, instead of me."	1	0.0
Yep! Cya :-)	0	0.0
And the other partners at the firm.	1	0.0
Hey, Nishanth here.. catch you soon!	0	1.0
Can msg me ur blk no and unit no again?...haha...	0	0.0
Didn't mean to hurt your feelings.	1	0.0
I dont have ps to help you test for hao wan de lol. If got I just dl eh.	0	0.0
Hi ppl! Let's meet at 4pm in sch to chiong powerpoint haha :) thankss!	0	
Yo wen sorry!! I haven't check my email!! Anyway I sign up the ssefone with our teacher mentor as verlyn woo ah! I emailed chiam but henever reply!	0	
Its easy..	0	
The Army landed in East Anglia, and Northumbria was invaded in 866.	1	
Wat dessert ü wan...	0	
Lebewohl	0	
"I'm sure it won't hurt and it may be ""just what the doctor ordered""."	1	
we must thing our past and future to realise that who is i am	0	
Really! Set not?	0	
EPA nearly one year later.	1	
Press this FIRMLY into the big pad on kitty's rear foot.	1	
hello	0	
Haiz... Overslept... Cant buy liao...	0	
Haha this kind of thing hard to say. Aiya always happen in manga de what	0	
There were more careers in life than that of the schools.	1	
The bar is filled with late 20s to early 30s crowd.	1	
1 more stop	0	
That's why we do it after each census!	1	
Blaze Foley performed here through the 1970s and 1980s.	1	
So fun to finally have her here in my city!	1	
Ok look for u later when i online	0	
my beautiful girl, u have made me so happy everyday since I met u.Faster get well sweetheart. I'm waiting for those kisses.	0	
Ok	0	
And now we have to contend with “bloggers.”	1	
so are u going to do it?	0	
All data items produced in a BCILAB session can be saved for later reuse.	1	
My life right now has seemed to slow down after getting my degree.	1	
Can't. End at 4...	0	
Reached the busstop at bishan already, on the way home	0	
Ya, already at FoE le... Is at level 4 rite?	0	
Favorite books Halo Novels, The Divine Comedy.	1	
We like Edwards perfectly OK; he might end up as our first choice.	1	
But I don't think that the game that we've been taught to play by ancient priests is about sex at all.	1	
U call me after u finish ur dinner, den see where am i or i go ur house n pick u.	0	
tired!!!!!!	0	
I am going to sleep. I am tired of travel.	0	
Wot? Hav u tld ur frnds abot truth of our mbl...	0	
If you're not in love don't contact me no more because you are in my way I don't feel free, and I'm not open for friendly talks	0	
No meh. Still got another batch	0	
"""The Probe"" is the female tool for ascertaining the level of a man's financial resources."	1	
The wiki page would appear to be missing something here.	1	
Wang of Chin Ling (to give it to him)!	1	
Turn off heat and let stand 5 to 7 minutes.	1	
Last active around 1997 at Patrick AFB.	1	
Eh... U buy ticks huh... Help me bring my ring out oso, in my room...	0	
My goodness, well have to privatize it.	1	
Fresh fruits and vegetables are now a luxury.	1	
Bhai r0l numbr shayad galat he phrse chk kr	0	
Nvm.. just continue ba..	0	
A father can be a �sufficiently good mother� so that she can be one for her child.	1	
E. ¼) of Section No. ten (10), and the west half (W.	1	
where are you	0	
Thus, it's better to wait to buy technology after it has matured, letting others pay the higher initial prices.	1	
Bout  <#>  meet changi village	0	
Is xy going 4 e lunch?	0	
With a heavy heart I accompanied my friend.	1	
Happy bday dear:-)	0	
Hahas study for math honor test!	0	
Some rails also have a sharp claw on the wing that helps individuals, particularly young rails, climb.	1	
I’m not sure how much but I think you’d get little change out of 45%.	1	
So sad, i got thrashed 4-0 in the soccer match juz now...  So pathetic ...   =(	0	
